Montage,101_Focality,Ernie_Focality,MB_Focality,101_Intensity,Ernie_Intensity,MB_Intensity,Focality_Mean,Focality_StdDev,Intensity_Mean,Intensity_StdDev
Little_Pairs,88.7314,60.1787,88.3885,0.28568,0.27574,0.29208,79.09953333333333,16.386819264986517,0.28450000000000003,0.008233663
Nested(Narrow),318.4678,254.6931,246.7823,1.6734,1.5731,1.9634,273.3144,39.30352831,1.7366333333333335,0.2026878470292024
Nested,194.7212,200.7443,143.6499,2.2789,2.0221,2.9536,179.70513333333335,31.36964012294903,2.4182,0.481119975
Parallel_Horizontal(Narrow),271.2873,194.7329,182.0481,2.1978,2.1122,2.7622,216.02276666666668,48.278903479401166,2.3574,0.35317010065972454
Parallel_Horizontal(Wide),228.3907,212.2935,179.7319,1.2698,1.025,1.3751,206.80536666666669,24.789300312298725,1.2233,0.17962235384272196
Parallel_Horizontal,259.6992,226.2068,205.5685,1.5261,1.3727,1.7388,230.4915,27.318531461079687,1.5458666666666667,0.18384869684970115
Parallel_Vertical(Narrow),171.7763,155.5214,142.9814,2.0357,1.7308,2.1341,156.75969999999998,14.43733377982236,1.9668666666666665,0.21027658769661772
Parallel_Vertical(Wide),114.6494,141.3823,141.4128,0.78987,0.70032,0.92361,132.4815,15.443059132503505,0.8046000000000001,0.11237141851912344
Parallel_Vertical,175.4869,162.3478,196.8577,1.0107,0.91726,1.1535,178.23080000000002,17.417808125880818,1.0271533333333334,0.1189763360224769
V_Montage(Narrow),25.9698,63.1713,101.8864,1.3047,1.0946,1.5303,63.67583333333332,37.96081472,1.3098666666666667,0.2178959461149595
V_Montage(ShiftedNorth),113.3618,126.3918,126.8622,1.8946,1.489,1.9979,122.20526666666667,7.662277471700782,1.7938333333333336,0.2689985935527049
V_Montage,79.5383,26.7392,27.1967,2.8829,2.2769,3.4263,44.4914,30.35236772098678,2.862033333333333,0.5749840461554854
X_Montage(Narrow),239.7044,217.5366,143.8269,2.0709,1.7012,2.2672,200.35596666666666,50.19466478484873,2.0131,0.2873928148023189
X_Montage(Wide),,226.2087,,,1.4175,,226.2087,,1.4175,
X_Montage,497.2436,311.4718,348.0159,1.6752,1.6643,2.0861,385.5771,98.41708808885784,1.8085333333333333,0.24044155908106518
Overall,,,,,,,177.53156976744188,92.33765165141398,1.6482130232558139,0.7014848415717392